"Production_Budget_USD","Worldwide_Gross_USD"
2.7e+07,31770413
6e+06,25059640
4e+06,34145
8e+07,180188905
7.5e+07,97387965
1e+07,10571408
6e+07,165048228
7e+07,310138178
5e+05,1027228
250000,20628
6.4e+07,63200000
1.4e+07,30628981
1e+07,6030047
2e+06,20741000
7e+05,10508
3.2e+07,2899970
5.5e+07,98699769
2.5e+07,11115766
1.6e+07,5825314
4e+07,53864342
4e+07,10717421
7e+06,15471229
1.25e+08,61698899
3.4e+07,10672566
2.2e+07,9818792
1.5e+07,11614954
7e+06,2165637
5700000,69582
6500000,28383441
1600000,6026908
21500000,24419219
1.2e+07,234723148
1.5e+07,356258047
5e+07,46112640
3.6e+07,117448157
1.2e+07,178287
3500000,9871
250000,178095
4e+07,177835231
28700000,4559569
1.8e+07,229311
1.5e+07,4956401
3.5e+07,310332636
3.2e+07,89441732
1.2e+07,21133087
4e+06,2793776
3e+07,163644662
1.3e+07,5871603
6e+07,290701374
1.8e+07,92935067
11900000,81897
6.5e+07,100851897
5e+07,27100030
1e+07,6197866
7200000,12678312
3.2e+07,16640210
2.1e+07,17396
2e+07,10570375
1.5e+07,1954202
9e+06,34572780
6500000,10155691
5e+05,2047570
2e+07,150350000
1.9e+07,65090541
1.3e+07,32382381
3250000,7680
1e+07,10019109
1.35e+08,361730660
9e+07,511358276
7e+07,207068340
1e+08,212026975
3.5e+07,630779
2.7e+07,4485485
312000,1788168
6e+07,36850101
3.5e+07,26613620
3e+07,52880016
4500000,5428387
4e+07,13508635
3e+07,11578022
2.1e+07,17760244
1.3e+07,27151490
1e+07,15164492
3e+06,9017070
5e+07,14271297
2.3e+07,18653615
1.5e+07,1970268
1e+07,43948865
1.05e+08,298815224
9e+07,87420776
7.5e+07,39251128
3.7e+07,48446802
2e+07,6201757
2.4e+07,28871190
6e+07,100230832
5.2e+07,47407635
4.5e+07,90523726
4e+07,128792135
3.6e+07,14378353
2.5e+07,13038660
2.4e+07,8427204
27000,8231
3.8e+07,73956241
8e+07,60507228
4e+06,9821335
1.5e+07,12801190
3e+06,4142507
1e+06,1425707
6e+07,14816494
25000,195043
9e+06,20035310
7e+06,411874
3.6e+07,2954405
1.5e+07,18260865
4e+06,185577
3.3e+07,173559438
4e+07,51867723
2.4e+07,85527867
2.3e+07,53182088
9e+06,28773637
3.5e+07,33422485
3.6e+07,23360779
5e+07,6291602
2.5e+07,24355762
1.6e+07,15980376
2e+06,10672492
9e+07,259736090
6e+07,39235486
5e+07,257805243
2.3e+07,112036870
2.5e+07,91036760
1.5e+07,10845127
1.5e+07,8735529
9.5e+07,65700000
2e+07,47881663
1.5e+07,35007180
4e+07,161838076
1e+07,1638202
9e+07,191200000
6.5e+07,128874043
4.5e+07,113916474
4e+06,27786849
4e+06,267972
4.3e+07,62063972
2.9e+07,45336404
8e+06,28674417
3e+06,30438635
3500000,886410
6.2e+07,127630030
1.5e+07,27709625
1.4e+07,12591270
6e+06,10619770
5.8e+07,59431365
3.1e+07,68079671
1.5e+07,40862054
1e+07,5241315
1.03e+08,457683805
3.4e+07,14291999
7e+06,18642318
3300000,5422740
1300000,609042
1e+06,428535
127500000,356148063
1.8e+07,29934477
1.6e+07,119739110
1.2e+08,549588516
5.5e+07,71189835
2e+06,121807
5.5e+07,304599899
4e+07,19417182
1e+07,2373937
5e+06,16628751
4500000,7389233
8e+07,9103630
7.5e+07,36751979
53012938,107190108
1.6e+07,21799652
2500000,1687548
4.2e+07,227793915
5.1e+07,149270999
150000,110719
1.1e+08,215300000
1.2e+08,328711434
7.6e+07,35129610
6e+07,71719931
2.4e+07,32662299
2.4e+07,12372410
6.5e+07,69688384
1.9e+07,277200000
1200000,2509344
7.5e+07,296339717
250000,1157672
1.5e+07,5217498
9e+07,288693989
